REGIAO,REG,TABANCA,TAB,AMOSTRA;;;REGIAO;REG;TABANCA;TAB;AMOSTRA
Oio,1,1 - Ntchugal,1,1;;;Oio;1;Ntchugal;1;1
Oio,1,2 - Blas,2,2;;;Oio;1;Blas;2;2
Oio,1,3 - Colicunda,3,2;;;Oio;1;Colicunda;3;2
Oio,1,4 - Wanquilim,4,3;;;Oio;1;Wanquilim;4;3
Oio,1,5 - Mandingara,5,3;;;Oio;1;Mandingara;5;3
Oio,1,6 - Cutia,6,4;;;Oio;1;Cutia;6;4
Oio,1,7 - Rossum,7,1;;;Oio;1;Rossum;7;1
Oio,1,9 - Amedalae,9,5;;;Oio;1;Amedalae;9;5
Oio,1,10 - Ntchane,10,5;;;Oio;1;Ntchane;10;5
Oio,1,11 - Quinhaque Mansoa,11,6;;;Oio;1;Quinhaque Mansoa;11;6
Oio,1,12 - Ntchangue Bideta,12,6;;;Oio;1;Ntchangue Bideta;12;6
Oio,1,13 - Ntchangue Subal,13,7;;;Oio;1;Ntchangue Subal;13;7
Oio,1,14 - Jogudul Com,14,7;;;Oio;1;Jogudul Com;14;7
Oio,1,15 - Joaquim Com,15,8;;;Oio;1;Joaquim Com;15;8
Oio,1,16 - Cangha Ntchugal,16,9;;;Oio;1;Cangha Ntchugal;16;9
Oio,1,17 - Cangha Cocry,17,9;;;Oio;1;Cangha Cocry;17;9
Oio,1,18 - Encheia,18,10;;;Oio;1;Encheia;18;10
Oio,1,19 - Cadjque,19,10;;;Oio;1;Cadjque;19;10
Oio,1,20 - Mpas,20,11;;;Oio;1;Mpas;20;11
Oio,1,21 - Quinhaque Ncor,21,12;;;Oio;1;Quinhaque Ncor;21;12
Oio,1,22 - Quinhaque,22,12;;;Oio;1;Quinhaque;22;12
Oio,1,23 - Untche,23,13;;;Oio;1;Untche;23;13
Oio,1,24 - Cumbidjam,24,14;;;Oio;1;Cumbidjam;24;14
Oio,1,25 - Sintcham,25,15;;;Oio;1;Sintcham;25;15
Oio,1,26 - Sansancutoto,26,16;;;Oio;1;Sansancutoto;26;16
Oio,1,27 - Bironque,27,17;;;Oio;1;Bironque;27;17
Oio,1,28 - Gendo,28,18;;;Oio;1;Gendo;28;18
Oio,1,29 - Mansaba,29,19;;;Oio;1;Mansaba;29;19
Oio,1,30 - Sanaia,30,20;;;Oio;1;Sanaia;30;20
Oio,1,31 - Galenque,31,20;;;Oio;1;Galenque;31;20
Oio,1,32 - Demba So,32,20;;;Oio;1;Demba So;32;20
Biombo,2,1 - Bilma,1,1;;;Biombo;2;Bilma;1;1
Biombo,2,2 - Gua,2,2;;;Biombo;2;Gua;2;2
Biombo,2,3 - Ntusse,3,3;;;Biombo;2;Ntusse;3;3
Biombo,2,4 - Ponta Vicente,4,4;;;Biombo;2;Ponta Vicente;4;4
Biombo,2,5 - Incaite,5,4;;;Biombo;2;Incaite;5;4
Biombo,2,6 - Qindinga,6,1;;;Biombo;2;Qindinga;6;1
Biombo,2,7 - Intuzinho,7,2;;;Biombo;2;Intuzinho;7;2
Biombo,2,8 - Bambadinca,8,5;;;Biombo;2;Bambadinca;8;5
Biombo,2,9 - Iem,9,6;;;Biombo;2;Iem;9;6
Biombo,2,10 - Buno,10,7;;;Biombo;2;Buno;10;7
Biombo,2,11 - Prite,11,8;;;Biombo;2;Prite;11;8
Biombo,2,12 - Reino Quicete,12,8;;;Biombo;2;Reino Quicete;12;8
Biombo,2,13 - Betafte,13,8;;;Biombo;2;Betafte;13;8
Biombo,2,14 - Bissa,14,9;;;Biombo;2;Bissa;14;9
Biombo,2,15 - Reino Tor,15,10;;;Biombo;2;Reino Tor;15;10
Biombo,2,16 - Dorse,16,11;;;Biombo;2;Dorse;16;11
Biombo,2,17 - Blim Blim,17,12;;;Biombo;2;Blim Blim;17;12
Biombo,2,18 - Quinsana,18,13;;;Biombo;2;Quinsana;18;13
Biombo,2,19 - Quita,19,14;;;Biombo;2;Quita;19;14
Biombo,2,20 - Ondame,20,15;;;Biombo;2;Ondame;20;15
Biombo,2,21 - Blom,21,16;;;Biombo;2;Blom;21;16
Biombo,2,22 - Bocomul,22,17;;;Biombo;2;Bocomul;22;17
Biombo,2,23 - Ome,23,18;;;Biombo;2;Ome;23;18
Biombo,2,24 - Quinhamel,24,19;;;Biombo;2;Quinhamel;24;19
Biombo,2,25 - Ponta Augusto Vicente,25,20;;;Biombo;2;Ponta Augusto Vicente;25;20
Biombo,2,26 - Bilmate,26,20;;;Biombo;2;Bilmate;26;20
Gabu,5,1 - Badjefa,1,1;;;Gabu;5;Badjefa;1;1
Gabu,5,2 - Gundjur,2,1;;;Gabu;5;Gundjur;2;1
Gabu,5,3 - Carabele,3,2;;;Gabu;5;Carabele;3;2
Gabu,5,4 - Nema,4,3;;;Gabu;5;Nema;4;3
Gabu,5,5 - Dobanla,5,4;;;Gabu;5;Dobanla;5;4
Gabu,5,6 - Sintcham Delo Mamado,6,5;;;Gabu;5;Sintcham Delo Mamado;6;5
Gabu,5,7 - Sintcham Delo Malam,7,5;;;Gabu;5;Sintcham Delo Malam;7;5
Gabu,5,8 - Sintcham Delo Umaro,8,6;;;Gabu;5;Sintcham Delo Umaro;8;6
Gabu,5,9 - Ponhe Maunde,9,6;;;Gabu;5;Ponhe Maunde;9;6
Gabu,5,10 - Candjufa,10,7;;;Gabu;5;Candjufa;10;7
Gabu,5,11 - Olocunda,11,8;;;Gabu;5;Olocunda;11;8
Gabu,5,12 - Funtufuntula,12,8;;;Gabu;5;Funtufuntula;12;8
Gabu,5,13 - Sintcham Iero Djadja,13,9;;;Gabu;5;Sintcham Iero Djadja;13;9
Gabu,5,14 - Buruntuma,14,10;;;Gabu;5;Buruntuma;14;10
Gabu,5,15 - Dara Braima,15,11;;;Gabu;5;Dara Braima;15;11
Gabu,5,16 - Padjama,16,12;;;Gabu;5;Padjama;16;12
Gabu,5,17 - Sintcham Cunadi (Camedina),17,13;;;Gabu;5;Sintcham Cunadi (Camedina);17;13
Gabu,5,18 - Djebacunda,18,13;;;Gabu;5;Djebacunda;18;13
