reg,regname,cscode,csname,;;;;;;;;;reg;regname;cscode;csname
1,Oio,101,CS Ga-Mamadu,;;;;;;;;;1;Oio;101;CS Ga-Mamadu
1,Oio,102,CS Nhacra,;;;;;;;;;1;Oio;102;CS Nhacra
1,Oio,103,CS Encheia,;;;;;;;;;1;Oio;103;CS Encheia
1,Oio,104,CS Binar,;;;;;;;;;1;Oio;104;CS Binar
1,Oio,105,Hospital de Bissora,;;;;;;;;;1;Oio;105;Hospital de Bissora
1,Oio,106,Hospital de Mansoa,;;;;;;;;;1;Oio;106;Hospital de Mansoa
1,Oio,107,CS Fanhe,;;;;;;;;;1;Oio;107;CS Fanhe
1,Oio,108,Missao Catolica de Nhoma,;;;;;;;;;1;Oio;108;Missao Catolica de Nhoma
1,Oio,109,CS Mores,;;;;;;;;;1;Oio;109;CS Mores
1,Oio,110,CS Mansaba,;;;;;;;;;1;Oio;110;CS Mansaba
1,Oio,111,CS Candjambari,;;;;;;;;;1;Oio;111;CS Candjambari
1,Oio,112,Centro Nutricional de Mansoa,;;;;;;;;;1;Oio;112;Centro Nutricional de Mansoa
1,Oio,113,Hospital de Farim,;;;;;;;;;1;Oio;113;Hospital de Farim
1,Oio,114,CS Binta,;;;;;;;;;1;Oio;114;CS Binta
1,Oio,115,CS Portugole,;;;;;;;;;1;Oio;115;CS Portugole
1,Oio,116,CS Cuntima,;;;;;;;;;1;Oio;116;CS Cuntima
1,Oio,117,CS Guidage,;;;;;;;;;1;Oio;117;CS Guidage
1,Oio,118,CS Olossato,;;;;;;;;;1;Oio;118;CS Olossato
2,Biombo,201,CS Ondame,;;;;;;;;;2;Biombo;201;CS Ondame
2,Biombo,202,Clinica Bom Samaritana,;;;;;;;;;2;Biombo;202;Clinica Bom Samaritana
2,Biombo,203,CS Dorse,;;;;;;;;;2;Biombo;203;CS Dorse
2,Biombo,204,CS Quinhamel,;;;;;;;;;2;Biombo;204;CS Quinhamel
2,Biombo,205,Centro Materno Infantil,;;;;;;;;;2;Biombo;205;Centro Materno Infantil
2,Biombo,206,CS Bigimita,;;;;;;;;;2;Biombo;206;CS Bigimita
2,Biombo,207,CS Ilonde,;;;;;;;;;2;Biombo;207;CS Ilonde
2,Biombo,208,CS SABim,;;;;;;;;;2;Biombo;208;CS SABim
2,Biombo,209,CS Prabis,;;;;;;;;;2;Biombo;209;CS Prabis
2,Biombo,210,Hospital de Cumura,;;;;;;;;;2;Biombo;210;Hospital de Cumura
2,Biombo,211,Clinica de Bor,;;;;;;;;;2;Biombo;211;Clinica de Bor
2,Biombo,212,Irma di Safim/Padre di Safim,;;;;;;;;;2;Biombo;212;Irma di Safim/Padre di Safim
3,SAB,301,HNSM Bercario (Luis),;;;;;;;;;3;SAB;301;HNSM Bercario (Luis)
3,SAB,302,HNSM Pediatria,;;;;;;;;;3;SAB;302;HNSM Pediatria
3,SAB,303,SMI Centro Materno Infantil,;;;;;;;;;3;SAB;303;SMI Centro Materno Infantil
3,SAB,304,CS Bandim,;;;;;;;;;3;SAB;304;CS Bandim
3,SAB,305,CS Belem,;;;;;;;;;3;SAB;305;CS Belem
3,SAB,306,CS Cuntum. Sobrada,;;;;;;;;;3;SAB;306;CS Cuntum. Sobrada
3,SAB,307,CS Cuntum Madina,;;;;;;;;;3;SAB;307;CS Cuntum Madina
3,SAB,308,CS Plak,;;;;;;;;;3;SAB;308;CS Plak
3,SAB,309,CS Quelele,;;;;;;;;;3;SAB;309;CS Quelele
3,SAB,310,Ceu et Terra,;;;;;;;;;3;SAB;310;Ceu et Terra
